text,emotion
"Estoy nerviosa por los exámenes finales",Ansiedad
"Hoy me siento muy feliz y motivada",Alegría
"Me siento estresado con tantas tareas",Estrés
"Estoy muy triste por reprobar dos cursos",Tristeza
"¡Estoy harto del sistema académico!",Ira
"Tengo miedo de no pasar el curso de mate",Miedo
"No sé cómo me siento hoy",Neutro
"No aguanto más la presión, no duermo bien",Estrés
"Me preocupa no conseguir prácticas pronto",Ansiedad
"Estoy contenta porque me salió mi beca",Alegría
"Estoy frustrado con el grupo, nadie hace nada",Ira
"Recién entré a la universidad y me siento sola",Tristeza
"Temo no adaptarme al ritmo de la universidad",Miedo
"Me cuesta organizarme, siento mucha presión",Estrés
"Mi ansiedad se dispara cuando pienso en los finales",Ansiedad
"Hoy me siento neutral, todo normal",Neutro
"Estoy agotado por tantos trabajos seguidos",Estrés
"Siento una felicidad inmensa por acabar el ciclo",Alegría
"Estoy molesto porque no me dejan cambiar de curso",Ira
"Estoy triste porque me quedé sin laptop",Tristeza
"Me da miedo hablar en exposiciones",Miedo
"Me siento feliz por conocer nuevas personas",Alegría
"Estoy desesperado, no entiendo nada de cálculo",Ansiedad
"No puedo dormir bien desde que empezó el ciclo",Ansiedad
"Estoy tranquila por fin terminé mis tareas",Alegría
"No me siento ni bien ni mal, solo cansado",Neutro
"Me frustra no poder concentrarme",Ira
"Estoy angustiada por los pagos de la universidad",Ansiedad
"Me siento solo aunque esté rodeado de gente",Tristeza
"Temo desaprobar por tercera vez ese curso",Miedo
"Estoy alegre porque por fin aprobé mate 1",Alegría
"No sé si esto de la universidad es para mí",Tristeza
"Estoy saturado, tengo tres entregas hoy",Estrés
"Estoy feliz por el reconocimiento que recibí",Alegría
"Me enoja que cambien el horario sin avisar",Ira
"Siento que no encajo con mis compañeros",Tristeza
"Estoy tenso por la entrevista de prácticas",Ansiedad
"Me siento insegura cuando expongo",Miedo
"Hoy tuve un día pesado, pero no estuvo mal",Neutro
"Estoy al borde de un colapso emocional",Estrés
"Estoy motivado para el nuevo ciclo",Alegría
"Odio cómo nos evalúan en este curso",Ira
"No quiero volver a la universidad mañana",Tristeza
"Tengo miedo de no alcanzar mi promedio",Miedo
"Estoy demasiado feliz, pasé todos mis cursos",Alegría
"Estoy nerviosa por mi primera exposición",Ansiedad
"Todo está tranquilo hoy, sin novedades",Neutro
"Me siento impotente frente a tanto estrés",Estrés
"Estoy agradecida por el apoyo de mis amigos",Alegría
"No soporto al profesor, me hace sentir inútil",Ira
"No sé si podré terminar la carrera",Tristeza
"Siento pánico escénico cada vez que presento",Miedo
"Estoy aliviada porque ya se acabó la semana",Alegría
"Estoy enojado porque no puedo retirar el curso",Ira
