texto,intencion
"Tengo problemas con mi profesor de cálculo",PROBLEMAS_ACADEMICOS
"No entiendo nada de esta tarea",PROBLEMAS_ACADEMICOS
"Estoy muy nervioso por el examen final",ESTRES_EXAMENES
"No puedo dormir por la evaluación",ESTRES_EXAMENES
"Mis padres discuten mucho últimamente",PROBLEMAS_PERSONALES
"Tengo problemas con mi pareja",PROBLEMAS_PERSONALES
"Me siento sin ganas de seguir",FALTA_MOTIVACION
"Estoy desmotivado desde hace semanas",FALTA_MOTIVACION
"No sé si esta carrera es lo mío",DUDAS_CARRERA
"Quiero cambiar de carrera",DUDAS_CARRERA
"Me cuesta hacer amigos en la universidad",PROBLEMAS_SOCIALES
"Me siento muy solo en clase",PROBLEMAS_SOCIALES
"Hola, ¿cómo estás?",SALUDO_GENERAL
"Buenos días, vengo a conversar",SALUDO_GENERAL
"Adiós, muchas gracias",DESPEDIDA
"Nos vemos luego",DESPEDIDA
"Tengo hambre",SIN_INTENCION
"Hoy hace sol",SIN_INTENCION
"Mi profesora de química es muy estricta y no entiendo sus explicaciones",PROBLEMAS_ACADEMICOS
"El docente de historia siempre llega tarde a clase",PROBLEMAS_ACADEMICOS
"No logro seguir el ritmo de la clase de matemáticas",PROBLEMAS_ACADEMICOS
"Mi profesor de inglés no responde mis dudas por correo",PROBLEMAS_ACADEMICOS
"La maestra de física explica muy rápido y me pierdo",PROBLEMAS_ACADEMICOS
"Tengo conflictos con mi profesor de filosofía por mis opiniones",PROBLEMAS_ACADEMICOS
"El docente de programación no me ayuda cuando tengo errores",PROBLEMAS_ACADEMICOS
"Mi profesora de literatura es muy exigente con los ensayos",PROBLEMAS_ACADEMICOS
"No entiendo la metodología de enseñanza de mi profesor",PROBLEMAS_ACADEMICOS
"El maestro de estadística va muy avanzado en el temario",PROBLEMAS_ACADEMICOS
"Mi profesora de biología no acepta preguntas durante clase",PROBLEMAS_ACADEMICOS
"Tengo problemas para entender las explicaciones del docente",PROBLEMAS_ACADEMICOS
"El profesor de economía usa términos muy técnicos",PROBLEMAS_ACADEMICOS
"No logro conectar con el estilo de enseñanza de mi maestra",PROBLEMAS_ACADEMICOS
"Mi profesor de derecho es muy intimidante",PROBLEMAS_ACADEMICOS
"La tarea de álgebra me tiene completamente perdido",PROBLEMAS_ACADEMICOS
"No comprendo este problema de geometría",PROBLEMAS_ACADEMICOS
"La lectura asignada es demasiado complicada para mí",PROBLEMAS_ACADEMICOS
"Este proyecto grupal es un caos total",PROBLEMAS_ACADEMICOS
"No sé cómo empezar mi ensayo de sociología",PROBLEMAS_ACADEMICOS
"La práctica de laboratorio me resultó imposible",PROBLEMAS_ACADEMICOS
"No entiendo las instrucciones del trabajo final",PROBLEMAS_ACADEMICOS
"Esta asignación de programación me supera",PROBLEMAS_ACADEMICOS
"No logro resolver estos ejercicios de cálculo",PROBLEMAS_ACADEMICOS
"La investigación que me pidieron es muy compleja",PROBLEMAS_ACADEMICOS
"No sé qué fuentes usar para mi tesis",PROBLEMAS_ACADEMICOS
"Este análisis estadístico me confunde totalmente",PROBLEMAS_ACADEMICOS
"No entiendo cómo hacer la referencia bibliográfica",PROBLEMAS_ACADEMICOS
"La traducción del texto en francés me cuesta mucho",PROBLEMAS_ACADEMICOS
"No comprendo la metodología para el experimento",PROBLEMAS_ACADEMICOS
"Estoy muy ansioso por la presentación de mañana",ESTRES_EXAMENES
"No he podido estudiar nada para el parcial",ESTRES_EXAMENES
"Me da pánico hablar en público durante los exámenes orales",ESTRES_EXAMENES
"Siento que voy a reprobar el examen de mañana",ESTRES_EXAMENES
"Tengo mucha presión por sacar buenas notas",ESTRES_EXAMENES
"Me tiemblan las manos cuando tengo que presentar",ESTRES_EXAMENES
"No puedo concentrarme para estudiar",ESTRES_EXAMENES
"Siento que no voy a recordar nada en el examen",ESTRES_EXAMENES
"Me pongo muy nervioso cuando veo la hoja del examen",ESTRES_EXAMENES
"Tengo miedo de quedarme en blanco durante la prueba",ESTRES_EXAMENES
"La presión de los exámenes finales me agobia",ESTRES_EXAMENES
"No logro manejar mis nervios antes de las evaluaciones",ESTRES_EXAMENES
